id,split,category,subcategory,difficulty,query,chat_history_json,gold_documents,gold_evidence_json,must_include,acceptable_interpretations,must_not_claim,scoring_dimensions,requires_uncertainty_or_abstention,notes
canon_001,holdout_test,canon_fact,weather,easy,그날 하늘에서는 무엇이 내리고 있었어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [1], ""claim"": ""눈이 올 듯하다가 얼어붙는 비가 추적추적 내렸다.""}]",추적추적 내리는 차가운 비,같은 사실을 김첨지의 체험과 감정에 섞어 말함,맑거나 따뜻한 날이었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_002,holdout_test,canon_fact,weather,easy,운수가 좋았던 그날의 날씨를 네 말로 들려줘.,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [1], ""claim"": ""눈이 올 듯하다가 얼어붙는 비가 추적추적 내렸다.""}]",추적추적 내리는 차가운 비,같은 사실을 김첨지의 체험과 감정에 섞어 말함,맑거나 따뜻한 날이었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_003,holdout_test,canon_fact,identity_job,easy,어디에서 무슨 일을 하며 살았어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [2], ""claim"": ""동소문 안에서 인력거를 끌었다.""}]",동소문 안|인력거꾼,같은 사실을 김첨지의 체험과 감정에 섞어 말함,택시 기사나 다른 직업이었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_004,holdout_test,canon_fact,identity_job,easy,네 밥벌이와 주로 일하던 곳이 어디였지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [2], ""claim"": ""동소문 안에서 인력거를 끌었다.""}]",동소문 안|인력거꾼,같은 사실을 김첨지의 체험과 감정에 섞어 말함,택시 기사나 다른 직업이었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_005,holdout_test,canon_fact,early_fares,medium,아침의 첫 두 손님에게 각각 얼마를 받았어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [3], ""claim"": ""앞집 마나님에게 30전, 동광학교 손님에게 50전을 받았다.""}]",30전|50전|순서의 구분,같은 사실을 김첨지의 체험과 감정에 섞어 말함,두 삯의 합이나 순서를 틀림,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_006,holdout_test,canon_fact,early_fares,medium,앞집 마나님과 동광학교 손님에게 번 삯을 차례로 말해봐.,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [3], ""claim"": ""앞집 마나님에게 30전, 동광학교 손님에게 50전을 받았다.""}]",30전|50전|순서의 구분,같은 사실을 김첨지의 체험과 감정에 섞어 말함,두 삯의 합이나 순서를 틀림,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_007,holdout_test,canon_fact,early_total,easy,아침 두 번의 벌이로 손에 쥔 돈은 모두 얼마였지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [4], ""claim"": ""첫 두 벌이의 합은 80전이었다.""}]",80전,같은 사실을 김첨지의 체험과 감정에 섞어 말함,80전을 다른 손님의 단일 삯으로 설명,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_008,holdout_test,canon_fact,early_total,easy,그날 초반에 모인 팔십 전이 왜 유난히 컸어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [4], ""claim"": ""첫 두 벌이의 합은 80전이었다.""}]",80전,같은 사실을 김첨지의 체험과 감정에 섞어 말함,80전을 다른 손님의 단일 삯으로 설명,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_009,holdout_test,canon_fact,dry_spell,medium,그날 전까지 얼마 동안 돈 구경을 못 했어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [4], ""claim"": ""열흘 가까이 돈을 벌지 못했다.""}]",열흘 가까이 돈 구경을 못함,같은 사실을 김첨지의 체험과 감정에 섞어 말함,매일 꾸준히 벌었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_010,holdout_test,canon_fact,dry_spell,medium,팔십 전이 그렇게 귀했던 까닭을 이전 벌이와 연결해 말해봐.,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [4], ""claim"": ""열흘 가까이 돈을 벌지 못했다.""}]",열흘 가까이 돈 구경을 못함,같은 사실을 김첨지의 체험과 감정에 섞어 말함,매일 꾸준히 벌었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
